modelo,estrategia_balanceamento,accuracy,precision,recall,f1,roc_auc,cv_f1_media
RandomForestClassifier (nenhuma),nenhuma,0.9919210053859964,0.98785702334641,0.9919210053859964,0.9880624668658747,,0.993164796221059
RandomForestClassifier (smote),smote,0.992100538599641,0.9876768988872371,0.992100538599641,0.9897275369984426,,0.9939996259436139
